EF0700029|2013-11-13 18:56|Expired Meter|Union|NE 48E536
EF0800019|2013-11-13 18:56|No Valid Permit Displayed|South Stadium|IL S656045
EF0700030|2013-11-13 18:57|Expired Meter|Union|NE SDM491
EF0300050|2013-11-13 18:57|Expired Meter|14th & W Street|NE TAN764
EF0800020|2013-11-13 18:58|No Valid Permit Displayed|South Stadium|NE 8B5965
EF0300051|2013-11-13 18:59|Expired Meter|14th & W Street|NE 10AB39
EF0700031|2013-11-13 19:00|No Valid Permit Displayed|Union|NE 8D7200
EF0300052|2013-11-13 19:01|Expired Meter|14th & W Street|WI 356SXR
EF0300053|2013-11-13 19:03|Expired Meter|14th & W Street|NE RVH035
EF0300054|2013-11-13 19:04|Expired Meter|14th & W Street|NE 15R936
EF0300055|2013-11-13 19:05|Expired Meter|14th & W Street|NE SXT348
EF0700032|2013-11-13 19:06|No Valid Permit Displayed|CBA|NE SPB998
EF0800021|2013-11-13 19:06|No Valid Permit Displayed|Champions Club|NE RXU093
EF0300056|2013-11-13 19:07|Expired Meter|14th & W Street|NE RPY183
EF010054|2013-11-13 19:07|No Valid Permit Displayed|Sandoz|NE SKM997
EF0700033|2013-11-13 19:08|No Valid Permit Displayed|CBA|SD C6578
EF0800022|2013-11-13 19:09|No Valid Permit Displayed|Champions Club|NE TGV444
EF0300057|2013-11-13 19:10|Expired Meter|14th & W Street|NE 36C272
EF010055|2013-11-13 19:11|No Valid Permit Displayed|Sandoz|NE SPG816
EF0300058|2013-11-13 19:11|Expired Meter|14th & W Street|IA 692YEB
EF0300059|2013-11-13 19:13|Expired Meter|14th & W Street|NE 62B721
EF0800023|2013-11-13 19:13|No Valid Permit Displayed|Champions Club|NE RRC029
EF0300060|2013-11-13 19:14|Expired Meter|14th & W Street|NE SAB965
EF0300061|2013-11-13 19:15|Expired Meter|14th & W Street|MO CD2M5W
EF0800024|2013-11-13 19:16|No Valid Permit Displayed|Champions Club|NE SNU557
EF010056|2013-11-13 19:16|Expired Meter|Abel|NE TGU197
EF010057|2013-11-13 19:19|Expired Meter|Abel|NE TDT172
EF010058|2013-11-13 19:20|Expired Meter|Abel|IL L491992
EF010059|2013-11-13 19:22|Expired Meter|Abel|NE TEL710
EF0300062|2013-11-13 19:23|No Valid Permit Displayed|Engineering|MO BV8TA
EF0800025|2013-11-13 19:24|No Valid Permit Displayed|14th & Avery Lot|NE 14BK26
EF0800026|2013-11-13 19:56|No Valid Permit Displayed|South Stadium|NE SNG210
EF0800027|2013-11-13 20:00|No Valid Permit Displayed|South Stadium|NE TIG367
EF0800028|2013-11-13 20:03|No Valid Permit Displayed|South Stadium|NE TEB623
EF0800029|2013-11-13 20:07|No Valid Permit Displayed|South Stadium|NE TDG547
EF0600014|2013-11-14 07:50|No Valid Permit Displayed|Harper Schramm Smith|NE SEM772
EF0700034|2013-11-14 07:58|No Valid Permit Displayed|North Stadium|OH FBZ4827
EF0600015|2013-11-14 08:06|Parking in Unauthorized Area|Andersen|KS 385GGA
EF0700035|2013-11-14 08:06|Expired Meter|Sapp Drive|NE 9COMM8827
EF0600016|2013-11-14 08:22|Expired Meter|Boathouse|TX BZL0637
EF0700036|2013-11-14 08:25|Parking in Unauthorized Area|North Stadium|NE 40B658
EF0800030|2013-11-14 08:43|No Valid Permit Displayed|Law College South|NE TCT129
EF0600017|2013-11-14 08:52|Parking in Unauthorized Area|14th & W Street|VA XBB7443
EF0800031|2013-11-14 08:55|No Valid Permit Displayed|Law College North|NE 24G885
EF0700037|2013-11-14 09:41|Expired Meter|Sapp Drive|IL H846805
EF0800032|2013-11-14 09:57|No Valid Permit Displayed|Judging Pavilion|NE 9COMM14923
EF0700038|2013-11-14 09:59|Expired Meter|South Stadium|NE SDH078
EF0700039|2013-11-14 10:02|Expired Meter|South Stadium|NE SCI173
EF0600018|2013-11-14 10:02|Expired Meter|Boathouse|NE RUS954
EF0700040|2013-11-14 10:05|Expired Meter|South Stadium|NE SDY995
EF0700041|2013-11-14 10:07|Expired Meter|South Stadium|NE 10S748
EF0600019|2013-11-14 10:08|No Valid Permit Displayed|Boathouse|OH FQQ5015
EF0700042|2013-11-14 10:10|Expired Meter|South Stadium|NE 7A1618
EF0800033|2013-11-14 10:12|Expired Meter|East Union|NE SIL327
EF0600020|2013-11-14 10:12|Parking in Unauthorized Area|Boathouse|NE 11J730
EF0800034|2013-11-14 10:16|Expired Meter|East Union|IA 511WOM
EF0700043|2013-11-14 10:16|No Valid Permit Displayed|South Stadium|NE SAA798
EF0800035|2013-11-14 10:19|Expired Meter|East Union|NE RVC122
EF0800036|2013-11-14 10:22|Expired Meter|East Union Dock|NE 39COMM1898
EF0600021|2013-11-14 10:23|No Valid Permit Displayed|14th & W Street|NE 17J91
EF0600022|2013-11-14 10:28|No Valid Permit Displayed|14th & W Street|NE TAN453
EF0600023|2013-11-14 10:33|Parking in Unauthorized Area|14th & W Street|NE TAN453
EF0800037|2013-11-14 10:41|No Valid Permit Displayed|East Union Dock|NE SNA155
EF0800038|2013-11-14 10:44|No Valid Permit Displayed|East Union Dock|NE RZJ398
EF0800039|2013-11-14 11:17|Expired Meter|South Stadium|NE 48C824
EF0800040|2013-11-14 11:21|Expired Meter|South Stadium|NE RSL121
EF0800041|2013-11-14 11:24|Expired Meter|South Stadium|NE TAD732
EF0800042|2013-11-14 11:27|Expired Meter|South Stadium|NY FHT6465
EF0500024|2013-11-14 11:58|No Valid Permit Displayed|North Stadium|MO FE7G1J
EF0500025|2013-11-14 12:04|No Valid Permit Displayed|14th & Avery Lot|NE SCD819
EF0100063|2013-11-14 12:22|No Valid Permit Displayed|Poultry|NE SHN707
EF0500026|2013-11-14 12:22|Parking in Unauthorized Area|Inside Loop|NE THAZHOT
EF0100064|2013-11-14 12:28|Expired Meter|East Union|MN 871EVB
EF0500027|2013-11-14 13:00|Expired Meter|South Stadium|NE RXH494
EF0500028|2013-11-14 13:02|Expired Meter|South Stadium|NE SUI290
EF0500029|2013-11-14 13:03|Expired Meter|South Stadium|NE RZG566
EF0500030|2013-11-14 13:05|Expired Meter|South Stadium|NE SKM983
EF0500031|2013-11-14 13:07|Expired Meter|South Stadium|IA BBV533
EF0500032|2013-11-14 13:12|Expired Meter|South Stadium|NE TDW857
EF0100065|2013-11-14 13:20|Expired Meter|Dental North|NE TDY932
EF0500033|2013-11-14 13:21|Expired Meter|North Stadium|NE RTB532
EF0500034|2013-11-14 13:23|Expired Meter|North Stadium|NE SKS501
EF0300063|2013-11-14 13:25|No Valid Permit Displayed|Dental North|IA 046RBG
EF0500035|2013-11-14 13:28|Parking in Unauthorized Area|North Stadium|NE TIA963
EF0300064|2013-11-14 13:32|Expired Meter|Dental North|NE 15Y229
EF0500036|2013-11-14 14:05|Expired Meter|14th & Avery Parking Garage|NE SSS312
EF0500037|2013-11-14 14:14|No Valid Permit Displayed|14th & Avery Parking Garage|NE TEG348
EF0100069|2013-11-14 14:18|Expired Meter|East Union|NE SXC156
EF0100070|2013-11-14 14:21|Expired Meter|East Union|NE 10A879
EF0300068|2013-11-14 14:34|Expired Meter|Hardin Hall|BC 979RVL
EF0100071|2013-11-14 14:35|Expired Meter|Hardin Hall|NE TCB941
EF0800043|2013-11-14 15:13|Parking in Unauthorized Area|Health Center|TX BXJ7617
EF0300069|2013-11-14 15:23|No Valid Permit Displayed|Harper Schramm Smith|MN 332DMG
EF0400002|2013-11-14 15:35|Parking in Unauthorized Area|Westbrook Music Building|NE 9C5230
EF0300070|2013-11-14 15:37|No Valid Permit Displayed|Boathouse|NE SCC005
EF0400003|2013-11-14 15:38|Parking in Unauthorized Area|Westbrook Music Building|NE SBK757
EF0400004|2013-11-14 15:40|Parking in Unauthorized Area|Westbrook Music Building|NE RSL631
EF0400005|2013-11-14 15:42|Parking in Unauthorized Area|Westbrook Music Building|NE SHG867
EF0600024|2013-11-14 15:56|Expired Meter|13th & R Lot|NE 49FARM2036
EF0300071|2013-11-14 15:57|No Valid Permit Displayed|Beadle South|SD 26K387
EF0600025|2013-11-14 15:59|Expired Meter|13th & R Lot|NE SEW058
EF0400006|2013-11-14 16:00|Expired Meter|13th & R Lot|NE 43H857
EF0600026|2013-11-14 16:13|No Valid Permit Displayed|South Stadium|NE 22C192
EF0600027|2013-11-14 16:17|Expired Meter|South Stadium|IA 161ZIS
EF0600028|2013-11-14 16:19|Expired Meter|South Stadium|VN D7125227
EF0600029|2013-11-14 16:21|Expired Meter|South Stadium|NE SNN767
EF0600030|2013-11-14 16:23|Expired Meter|South Stadium|TX AA42601
EF0600031|2013-11-14 16:28|No Valid Permit Displayed|South Stadium|NE 7B4548
EF0600032|2013-11-14 16:32|No Valid Permit Displayed|South Stadium|NE SJC299
EF0600033|2013-11-14 16:33|No Valid Permit Displayed|South Stadium|NE 8C4069
EF0800044|2013-11-14 16:44|No Valid Permit Displayed|Inside Loop|NE TEA627
EF0800048|2013-11-14 17:07|No Valid Permit Displayed|Beadle South|NE RUR565
EF0600034|2013-11-14 17:16|Expired Meter|14th & Avery Parking Garage|NE RVL742
EF0600035|2013-11-14 17:20|Expired Meter|Sapp Drive|NE SMU792
EF0600036|2013-11-14 17:33|No Valid Permit Displayed|Inside Loop|NE 7C7196
EF0600037|2013-11-14 17:35|No Valid Permit Displayed|Loop|NE SYA485
EF0600038|2013-11-14 17:37|No Valid Permit Displayed|Inside Loop|NE 51FARM1431
EF0600039|2013-11-14 17:38|No Valid Permit Displayed|Inside Loop|NE 7C1209
EF0600040|2013-11-14 17:40|No Valid Permit Displayed|Loop|NE SSR018
EF0600041|2013-11-14 17:42|No Valid Permit Displayed|Loop|NE SHV931
EF0600042|2013-11-14 17:43|No Valid Permit Displayed|Inside Loop|NE RSF003
EF0600043|2013-11-14 17:47|No Valid Permit Displayed|Loop|NE 11F673
EF0600044|2013-11-14 17:50|No Valid Permit Displayed|Loop|NE RSD512
EF0600045|2013-11-14 17:52|No Valid Permit Displayed|Loop|CO 157XIA
EF0600046|2013-11-14 17:53|No Valid Permit Displayed|Loop|MN 676ERG
EF0600047|2013-11-14 17:55|No Valid Permit Displayed|Loop|IA 663WDO
EF0600048|2013-11-14 18:00|No Valid Permit Displayed|Loop|NE 72FARM463
EF0600049|2013-11-14 18:07|No Valid Permit Displayed|Union|NE STD016
EF0600050|2013-11-14 18:09|Expired Meter|Union|NE TGG068
EF0600051|2013-11-14 18:11|Expired Meter|Union|NE SBS550
EF0600052|2013-11-14 18:12|Expired Meter|Union|NE TEC071
EF0600053|2013-11-14 18:13|Expired Meter|Union|NE SYE432
EF0100072|2013-11-14 18:23|Expired Meter|East Union|SD 809XID
EF0100073|2013-11-14 18:27|Expired Meter|East Union|MN 651KXT
EF0100074|2013-11-14 18:30|No Valid Permit Displayed|East Union|NE TGU039
EF0100075|2013-11-14 18:32|No Valid Permit Displayed|East Union|NE RSK259
EF0100076|2013-11-14 18:34|Expired Meter|East Union|WY 187150
EF0100077|2013-11-14 18:36|No Valid Permit Displayed|East Union|NE RRA933
EF0100078|2013-11-14 18:42|Expired Meter|Dental North|NE 18L102
EF0100079|2013-11-14 18:45|Expired Meter|Dental North|NE 15-1676
EF0100080|2013-11-14 18:47|Expired Meter|Dental North|NE 76-1142
EF0600054|2013-11-14 18:55|No Valid Permit Displayed|Loop|NE SRA425
EF0100081|2013-11-14 18:55|Expired Meter|Dairy Store|NE SNJ920
EF0100082|2013-11-14 18:57|Expired Meter|Dairy Store|NE RSN477
EF0600055|2013-11-14 18:57|No Valid Permit Displayed|Loop|NE 24E878
EF0100083|2013-11-14 18:59|Expired Meter|Dairy Store|NE TGZ276
EF0100084|2013-11-14 19:00|Expired Meter|Dairy Store|NE SEE995
EF0100085|2013-11-14 19:01|Expired Meter|Dairy Store|NE WITT4
EF0100086|2013-11-14 19:02|Expired Meter|Dairy Store|NE RRG888
EF0100087|2013-11-14 19:06|Expired Meter|Arboretum|NE RRH625
EF0600056|2013-11-14 19:37|No Valid Permit Displayed|13th & R Lot|NE 16P229
EF0600057|2013-11-14 19:39|No Valid Permit Displayed|13th & R Lot|NE SBX932
EF0600058|2013-11-14 19:41|No Valid Permit Displayed|13th & R Lot|NE RYF963
EF0600059|2013-11-14 19:43|No Valid Permit Displayed|13th & R Lot|WI 468SYZ
EF0100090|2013-11-14 20:10|No Valid Permit Displayed|Sandoz|NE TGL613
EF0100091|2013-11-14 20:32|No Valid Permit Displayed|Knoll Residence|NE SJH930
EF0800049|2013-11-15 07:44|No Valid Permit Displayed|19th Street/R-U Street|NE TJZ657
EF0100092|2013-11-15 07:45|Expired Meter|Boathouse|NE SBV415
EF0400007|2013-11-15 07:45|Parking in Unauthorized Area|Champions Club|NE 18G876
EF0700044|2013-11-15 07:45|Parking in Unauthorized Area|Inside Loop|NE G433686G
EF0100093|2013-11-15 07:47|Expired Meter|Boathouse|NE 206146
EF0400008|2013-11-15 07:48|Parking in Unauthorized Area|Champions Club|NE 14T683
EF0800050|2013-11-15 07:55|Parking in Unauthorized Area|19th Street/R-U Street|IA 225TLX
EF0100094|2013-11-15 07:55|Overtime|Courtyard|NE 8E4370
EF0400009|2013-11-15 07:58|Parking in Unauthorized Area|North Stadium|NE 59-1153
EF0700045|2013-11-15 07:59|Parking in Unauthorized Area|Health Center|NV PLAYBOY
EF0400010|2013-11-15 08:03|No Valid Permit Displayed|North Stadium|NE 2-190
EF0800051|2013-11-15 08:09|Parking in Unauthorized Area|19th Street/R-U Street|NE TGM453
EF0500038|2013-11-15 08:12|No Valid Permit Displayed|Judging Pavilion|NE SDA090
EF0400011|2013-11-15 08:17|No Valid Permit Displayed|14th & Avery Parking Garage|NE TKM808
EF0800052|2013-11-15 08:19|Expired Meter|Abel|NE 5-C3828
EF0100095|2013-11-15 08:19|Parking in Unauthorized Area|Harper Schramm Smith|NE SEB723
EF0700046|2013-11-15 08:25|Parking in Unauthorized Area|Alexander East|NE TES682
EF0100096|2013-11-15 08:29|No Valid Permit Displayed|Harper Schramm Smith|NE 81A743
EF0700047|2013-11-15 08:30|Parking in Unauthorized Area|Alexander East|NE TDT855
EF0500039|2013-11-15 08:37|No Valid Permit Displayed|C.Y. Thompson|NE SCD466
EF0100097|2013-11-15 08:37|No Valid Permit Displayed|Harper Schramm Smith|NE 6163
EF0800053|2013-11-15 08:44|Parking in Unauthorized Area|900 N 22nd Street [East]|NE SBY486
EF0100098|2013-11-15 08:45|Parking in Unauthorized Area|Harper Schramm Smith|NE 10U401
EF0800054|2013-11-15 08:48|No Valid Permit Displayed|900 N 22nd Street [East]|IL X886763
EF0800055|2013-11-15 08:52|Parking in Unauthorized Area|900 N 22nd Street [East]|NE 37-H23
EF0100099|2013-11-15 08:54|No Valid Permit Displayed|Harper Schramm Smith|NE 15J124
EF0800056|2013-11-15 08:56|No Valid Permit Displayed|900 N 22nd Street [East]|NE SMU406
EF0100100|2013-11-15 08:56|No Valid Permit Displayed|Harper Schramm Smith|NE 7A3802
EF0400012|2013-11-15 08:57|No Valid Permit Displayed|Champions Club|KS 424BSP
EF0100101|2013-11-15 09:00|No Valid Permit Displayed|Harper Schramm Smith|NE SZU505
EF0100102|2013-11-15 09:04|No Valid Permit Displayed|Harper Schramm Smith|VN 3A267702
EF0500040|2013-11-15 09:06|No Valid Permit Displayed|East Union|NE TFN432
EF0800057|2013-11-15 09:11|No Valid Permit Displayed|17th & Vine Street|SD 51J171
EF0100103|2013-11-15 09:11|No Valid Permit Displayed|Harper Schramm Smith|NE SMM056
EF0500041|2013-11-15 09:13|Expired Meter|East Union|NE SXC156
EF0500042|2013-11-15 09:16|Expired Meter|East Union|NE 6-6595
EF0400013|2013-11-15 09:16|Expired Meter|14th & Avery Parking Garage|GA PMG9583
EF0100104|2013-11-15 09:17|No Valid Permit Displayed|Harper Schramm Smith|NE 7C1285
EF0800058|2013-11-15 09:20|Parking in Unauthorized Area|Facilities Management East|NE TAP910
EF0100105|2013-11-15 09:23|No Valid Permit Displayed|Harper Schramm Smith|NE 8C2071
EF0700048|2013-11-15 09:37|Parking in Unauthorized Area|Inside Loop|NE TJK058
EF0700049|2013-11-15 09:39|Parking in Unauthorized Area|Inside Loop|NE RYH665
EF0800061|2013-11-15 09:41|No Valid Permit Displayed|Beadle South|NE SLE179
EF0100106|2013-11-15 09:55|Overtime|Courtyard|NE 8E4370
EF0100107|2013-11-15 10:06|Parking in Unauthorized Area|Courtyard|NE SMV238
EF0100108|2013-11-15 10:33|Parking in Unauthorized Area|Harper Schramm Smith|NE 48D315
EF0100109|2013-11-15 10:38|Expired Meter|Housing|NE 8B3808
EF0400014|2013-11-15 10:45|Expired Meter|East Union|NE SUZ904
EF0700050|2013-11-15 10:49|Fire Lane No Parking|Loop|NE G433686G
EF0100110|2013-11-15 10:59|Improper Parking|14th & W Street|NE 41E372
EF0700051|2013-11-15 10:59|Parking in Unauthorized Area|Inside Loop|NE 17B333
EF0100111|2013-11-15 11:02|Expired Meter|14th & W Street|VN 44136962
EF0700052|2013-11-15 11:02|No Valid Permit Displayed|Inside Loop|NE RXG711
EF0100112|2013-11-15 11:04|Expired Meter|14th & W Street|NE SKW247
EF0100113|2013-11-15 11:07|Expired Meter|14th & W Street|NE SED658
